Source,Dataset name,Dataset Tag,Dataset save name,Done?,Link,Probe from,Probe to,Data type,Notes,,,# continuous,# multiclass,# binary,,Lot of data here,,,,,
,wikidata_occupation_isresearcher,wikidata_occupation_isresearcher,cleaned_data/64_wikidata_occupation_isresearcher.csv,Yes,^,^,^,Binary Classification,,,,,,,,,,,,,
,phrase_high-school,high-school,cleaned_data/65_high-school.csv,Yes,,,,Binary Classification,Haven't seen these datasets so dunno what they look like or what labels are.,,,,,,,,,,,,
,phrase_living-room,living-room,cleaned_data/66_living-room.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_social-security,social-security,cleaned_data/67_social-security.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_credit-card,credit-card,cleaned_data/68_credit-card.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_blood-pressure,blood-pressure,cleaned_data/69_blood-pressure.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_prime-factors,prime-factors,cleaned_data/70_prime-factors.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_social-media,social-media,cleaned_data/71_social-media.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_gene-expression,gene-expression,cleaned_data/72_gene-expression.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_control-group,control-group,cleaned_data/73_control-group.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_magnetic-field,magnetic-field,cleaned_data/74_magnetic-field.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_cell-lines,cell-lines,cleaned_data/75_cell-lines.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_trial-court,trial-court,cleaned_data/76_trial-court.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_second-derivative,second-derivative,cleaned_data/77_second-derivative.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_north-america,north-america,cleaned_data/78_north-america.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_human-rights,human-rights,cleaned_data/79_human-rights.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_side-effects,side-effects,cleaned_data/80_side-effects.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_public-health,public-health,cleaned_data/81_public-health.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_federal-government,federal-government,cleaned_data/82_federal-government.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_third-party,third-party,cleaned_data/83_third-party.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
